strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Australia/VIC18524/2021	EPI_ISL_2250228		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit Public Health Laboratory (MDU-PHL)	Seemann T. et al
hCoV-19/Sweden/DC110430791/2021	EPI_ISL_2208118		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Maximilian Riess et al
hCoV-19/Bulgaria/21BG-NC_003454_R13/2021	EPI_ISL_2925478		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Greece/KEDY_11516/2021	EPI_ISL_2463905		Central Public Health Lab, National Public Health Organization	Central Public Health Lab, National Public Health Organization	Kyriaki Tryfinopoulou et al
hCoV-19/Switzerland/VS-ETHZ-610446/2021	EPI_ISL_2152288	OU194924.1	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
hCoV-19/Kuwait/KU44/2021	EPI_ISL_2603843		Ministry of Health, Jaber Al-Ahmad Hospital	Virology Unit, Department of Microbiology, Faculty of Medicine, Kuwait University	Nada Madi et al
hCoV-19/Canada/AB-ABPHL-18808/2021	EPI_ISL_2941261		Edmonton Provincial Lab	Public Health Agency of Canada (PHAC) National Microbiology Laboratory	Buss et al
hCoV-19/Canada/NL-NML-97340/2021	EPI_ISL_3150964		NL-Dr. Leonard A. Miller Centre for Health Services	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Guangdong/IVDC-05-07/2021	EPI_ISL_2426143		Shenzhen Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Long Chen et al
hCoV-19/Kosovo/ChVir25780_14/2021	EPI_ISL_2833660		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Philippines/PH-PGC-17742/2021	EPI_ISL_2189459		Philippine Red Cross - Port Area	Philippine Genome Center	Francis A. Tablizo et al
hCoV-19/Australia/WA624/2021	EPI_ISL_1069393		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/NewZealand/21CH0035/2021	EPI_ISL_2811953		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/NewZealand/21CH0042/2021	EPI_ISL_2811950		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/NewZealand/21CH0034/2021	EPI_ISL_2811952		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/NewZealand/21CH0033/2021	EPI_ISL_2811951		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/HongKong/HKPU-11837/2021	EPI_ISL_2713263		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
hCoV-19/Philippines/PH-PGC-44877/2021	EPI_ISL_2859254		Cotabato Regional and Medical Center	Philippine Genome Center	Francis A. Tablizo et al
hCoV-19/Australia/QLD2004/2021	EPI_ISL_2842844		PHV-FSS	PHV-FSS	Son Nguyen et al
hCoV-19/Australia/QLD2055/2021	EPI_ISL_3161813		PHV-FSS	PHV-FSS	Chenwei Wang on behalf of Q-PHIRE Genomics et al
hCoV-19/Kazakhstan/ALM-NRL-539S/2021	EPI_ISL_2438625		Enbekshikazakh multidisciplinary interdistrict hospital	Reference laboratory for the control of viral infections	Nazym Tleumbetova et al
hCoV-19/Cambodia/579548/2021	EPI_ISL_2693941		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Cecile Troupin et al
hCoV-19/Cambodia/441918/2021	EPI_ISL_2106243		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Jurre Y Siegers et al
hCoV-19/Cambodia/399630/2021	EPI_ISL_1711986		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Jurre Y Siegers et al
hCoV-19/Cambodia/705947/2021	EPI_ISL_3387374		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum et al
hCoV-19/Cambodia/612937/2021	EPI_ISL_3031531		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum et al
hCoV-19/Cambodia/f0802106/2021	EPI_ISL_3374673		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum et al
hCoV-19/Cambodia/387341/2021	EPI_ISL_1711980		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Jurre Y Siegers et al
hCoV-19/Cambodia/008-831-932-3/2021	EPI_ISL_2231565		Battambang Provincial Laboratory	Virology Unit, Institut Pasteur du Cambodge	Jurre Y Siegers et al
hCoV-19/Cambodia/490541/2021	EPI_ISL_2231581		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Jurre Y Siegers et al
hCoV-19/Thailand/DMSc-00052/2021	EPI_ISL_2350960		Mongkutwattana General Hospital	Division of Genomic Medicine and Innovation support,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al
hCoV-19/Thailand/DMSc-00193/2021	EPI_ISL_2351100		Public Health Centre 6	Division of Genomic Medicine and Innovation support,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al
hCoV-19/Australia/SA0718/2021	EPI_ISL_2462356		SA Pathology	SA Pathology	Caitlin Selway et al
hCoV-19/Thailand/Bangkok-CONI-0719/2021	EPI_ISL_2104756		Division of Epidemiology	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al
hCoV-19/Australia/QLD1852/2021	EPI_ISL_1754862		Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/Israel/CVL-13709/2021	EPI_ISL_2636229		Israel Central Virology laboratory	Israel National Consortium for SARS-CoV-2 sequencing	Neta Zuckerman et al
hCoV-19/Thailand/Bangkok-CONI-0857/2021	EPI_ISL_2802857		Faculty of Medicine Vajira Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al
hCoV-19/Thailand/DMSc-00085/2021	EPI_ISL_2350993		Mongkutwattana General Hospital	Division of Genomic Medicine and Innovation support,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al
hCoV-19/Thailand/DMSc-00016/2021	EPI_ISL_2350924		Regional Medical Sciences Center 6 Chonburi	Division of Genomic Medicine and Innovation support,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al
hCoV-19/Thailand/Songkhla-CONI-0812/2021	EPI_ISL_2678123		Faculty of Medicine, Prince of Songkla University	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al
hCoV-19/Lithuania/LTU000_NMRVI_125172/2021	EPI_ISL_2694073		Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas	National Public Health Surveillance Laboratory	Lukas Zemaitis et al
hCoV-19/Lithuania/LTU000_MP_DT47/2021	EPI_ISL_2694048		UAB Medicina practica laboratorija	National Public Health Surveillance Laboratory	Lukas Zemaitis et al
hCoV-19/Lithuania/S21E600/2021	EPI_ISL_2428587		UAB InMedica	Vilnius University Hospital Santaros Klinikos, Center of Laboratory Medicine	Daniel Naumovas et al
hCoV-19/Lithuania/LTU000_VULSK_210523120457/2021	EPI_ISL_2614918		Viesoji istaiga Vilniaus universiteto ligonine Santaros klinikos	National Public Health Surveillance Laboratory	Lukas Zemaitis et al
hCoV-19/Bahrain/341702536/2021	EPI_ISL_1660461	MW947232.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/Bahrain/NPS-12/2021	EPI_ISL_2812541	MZ457941.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/Scotland/QEUH-1510D95/2021	EPI_ISL_1758780		Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse et al
hCoV-19/Ireland/LD-NVRL-89IRL22531/2021	EPI_ISL_1791186		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al
hCoV-19/Switzerland/VS-ICH-2210527070/2021	EPI_ISL_2379654	OU286679.1	Valais Hospital, Central Institute	Valais Hospital, Central Institute	Alexis Dumoulin et al
hCoV-19/Cyprus/Cy166194/2021	EPI_ISL_1164741		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
hCoV-19/Greece/194311/2021	EPI_ISL_2344183		Laboratory of Immunohematology, Division of Hematology	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)	Emmanouil Athanasiadis et al
hCoV-19/USA/MN-MDH-7450/2021	EPI_ISL_2244995	MZ271949.1	M Health Fairview	Minnesota Department of Health, Public Health Laboratory	Alexandra Lorentz et al
hCoV-19/Austria/CeMM9501/2021	EPI_ISL_2427163		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Australia/WA724/2021	EPI_ISL_2226229		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Mexico/CMX-INMEGEN-05-05-21/2021	EPI_ISL_2444412		Salud Digna	Instituto Nacional de Medicina Genomica	Hidalgo-Miranda A et al
hCoV-19/Mexico/TAB_IBT_IMSS_2060/2021	EPI_ISL_3133725		Unidad de Investigación Médica de Yucatán (UIMY)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Belgium/UZA-UA-CV2237142726/2021	EPI_ISL_2483253		Platform BIS UZA/UAntwerpen	Labo Klinische Biologie, UZA	Jasmine Coppens et al
hCoV-19/Mozambique/CERI-KRISP-K018290/2021	EPI_ISL_2688577		Instituto Nacional de Saude (INS), Mozambique	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Nalia Ismael et al
hCoV-19/Sweden/36911859XXP/2021	EPI_ISL_2416606		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Maximilian Riess et al
hCoV-19/Taiwan/CGMH-CGU-71/2021	EPI_ISL_2544707		Research Center for Emerging Viral Infections, Chang Gung University, Taiwan	Research Center for Emerging Viral Infections, Chang Gung University, Taiwan	Shin-Ru Shih et al
hCoV-19/Andorra/AND-235_2118213857_GC/2021	EPI_ISL_3384894		Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M et al
hCoV-19/Argentina/PAIS-E0224/2021	EPI_ISL_2363552		Laboratorio Central de la Ciudad de Santa Fe	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Eberhardt et al
hCoV-19/England/QEUH-14405B3/2021	EPI_ISL_1412909		Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse et al
hCoV-19/Malta/MDxMDH403/2021	EPI_ISL_2105933		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Bulgaria/21BG-EU_002654_Pl24/2021	EPI_ISL_2180447		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Ireland/D-NVRL-22IRL72717/2021	EPI_ISL_2240894		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al
hCoV-19/Ireland/D-NVRL-t22IRL29774/2021	EPI_ISL_2363376		National Virus Reference Laboratory	National Virus Reference Laboratory	Fiona Crispie et al
hCoV-19/Kuwait/KU-12024/2021	EPI_ISL_2429125		Mubarak Al-Kabeer Hospital	Virology Unit, Department of Microbiology, Faculty of Medicine, Kuwait University	Nada Madi et al
hCoV-19/Kuwait/KU-5862/2021	EPI_ISL_2429128		Mubarak Al-Kabeer Hospital	Virology Unit, Department of Microbiology, Faculty of Medicine, Kuwait University	Nada Madi et al
hCoV-19/Romania/Dolj_457752/2021	EPI_ISL_2652207		Clinical Emergency County Hospital, Craiova	Cantacuzino Institute Virology	Carmen Cherciu et al
hCoV-19/Kenya/SS762/2021	EPI_ISL_3049584		KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Spain/VC-IBV-99028995/2021	EPI_ISL_2374119		Hospital General Universitario de Alicante - Instituto de Investigación Sanitaria y Biomédica de Alicante	SeqCOVID-SPAIN consortium/IBV(CSIC)	Maripaz Ventero Martín et al
hCoV-19/France/ARA-HCL021107229101/2021	EPI_ISL_2629551		ORIAPOLE - BACTERIOLOGIE	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
hCoV-19/Portugal/PT6498/2021	EPI_ISL_1853725		H Garcia de Orta	Instituto Nacional de Saude (INSA)	Borges et al
hCoV-19/Denmark/DCGC-121278/2021	EPI_ISL_2747601		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Denmark/DCGC-121782/2021	EPI_ISL_2748254		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Australia/WA681/2021	EPI_ISL_1669120		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Australia/VIC18461/2021	EPI_ISL_2920928		Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al B
hCoV-19/Australia/SA0675/2021	EPI_ISL_1704803		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Australia/SA0672/2021	EPI_ISL_1704802		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Philippines/PH-PGC-43279/2021	EPI_ISL_2859209		Baguio General Hospital Medical Center (BGHMC)	Philippine Genome Center	Francis A. Tablizo et al
hCoV-19/USA/GU-CDC-2-4448976/2021	EPI_ISL_2451659	MZ358461.1	Guam Public Health Laboratory	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
hCoV-19/USA/GU-CDC-2-4651378/2021	EPI_ISL_3241992		Guam Public Health Laboratory	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
hCoV-19/NorthernMarianaIslands/MP-CDC-2-4392999/2021	EPI_ISL_2383896	MZ331023.1	Commonwealth Healthcare Center	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
hCoV-19/USA/GU-CDC-2-4356406/2021	EPI_ISL_2229097	MZ278298.1	Guam Public Health Laboratory	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
hCoV-19/Serbia/Belgrade-3191630904/2021	EPI_ISL_3163966		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Australia/NT194/2021	EPI_ISL_2321163		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/USA/TX-CDC-FG-033733/2021	EPI_ISL_2160930	MZ235983.1	Fulgent Genetics	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Mexico/CAM-LANGEBIO_IMSS_0940/2021	EPI_ISL_2671501		Unidad de Investigacion Medica de Yucatan (UIMY)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/NLE_INER_IMSS_1056/2021	EPI_ISL_2490315		Centro de Investigación Biomédica del Noreste (CIBIN)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Paraguay/iics_12146/2021	EPI_ISL_2234876		IICS-UNA	IICS-UNA	Magaly Martinez et al
hCoV-19/Kenya/OSBP-BUS-45792/2021	EPI_ISL_3031388		Port Health Clinic, Busia border point	USAMRD-A, Basic Science Laboratory	Gathii Kimita et al
hCoV-19/Djibouti/NAMRU3_A104/2021	EPI_ISL_2858619	MZ520054.1	Naval Medical Research Unit No. 3	Naval Medical Research Center Biological Defense Research Directorate	Catherine E. Arnold et al
hCoV-19/Israel/SMC-7005608/2021	EPI_ISL_3022344		Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)	Nir Rainy et al
hCoV-19/Rwanda/NRLNAT4060/2021	EPI_ISL_2521997		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Uganda/UG485/2021	EPI_ISL_2690450		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Uganda/UG486/2021	EPI_ISL_2690451		MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories, Rakai Health Sciences Program	MRC/UVRI & LSHTM Uganda Research Unit, Central Public Health Laboratories	Matthew Cotten et al
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-13317/2021	EPI_ISL_2194524		Istituto Zooprofilattico Sperimentale del Mezzogiorno	TIGEM	Antonio Grimaldi Patrizia Annunziata Francesco Panariello Biancamaria Pierri Claudia Tiberio Teresa Giuliano Valentina Bouche Chiara Colantuono Maria Concetta Cuomo Denise Di Concilio Lucio Di Filippo Anna Manfredi Marcello Salvi Antonio Limone Luigi Atripaldi Pellegrino Cerino Andrea Ballabio Davide Cacchiarelli et al
hCoV-19/Spain/GA-CHUVI-19290986/2021	EPI_ISL_2967794		Microbiology Department. Complexo Hospitalario Universitario de Vigo	Microbiology Department. Complexo Hospitalario Universitario de Vigo	Alfaya N et al
hCoV-19/env/Liechtenstein/CeMM9279/2021	EPI_ISL_2382031		Universität Innsbruck, Institut für Mikrobiologie	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Romania/Bucuresti_432650/2021	EPI_ISL_1381375		Laboratory for Respiratory Viruses, Cantacuzino National Military-Medical Institute for Research and Development	Cantacuzino Institute Virology	Luiza Ustea et al
hCoV-19/Romania/IS-11038/2021	EPI_ISL_1969944		Infectious Diseases Hospital IASI	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Somalia/NAMRU3_Mog_32/2021	EPI_ISL_2858680	MZ520070.1	Naval Medical Research Unit No. 3	Naval Medical Research Center Biological Defense Research Directorate	Catherine E. Arnold et al
hCoV-19/NorthMacedonia/9678/2021	EPI_ISL_1191754		Laboratory of virology and molecular diagnostics	Laboratory of virology and molecular diagnostics	Kuzmanovska Maja et al
hCoV-19/NorthMacedonia/15014-k/2021	EPI_ISL_2681413		General Hospital "8th of September"	Laboratory of virology and molecular diagnostics, Institute of Public Health	Kuzmanovska M et al
hCoV-19/Greece/105356/2021	EPI_ISL_1420743		Biomedical Research Foundation of the Academy of Athens (BRFAA)	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)	Emmanouil Athanasiadis et al
hCoV-19/Greece/196285/2021	EPI_ISL_2376761		Hellenic National Blood Transfusion Center - EKEA	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)	Emmanouil Athanasiadis et al
hCoV-19/Kenya/C95566/2021	EPI_ISL_2602671		KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Moldova/un-ChVir25715/2021	EPI_ISL_2894991		National Agency for Public Health, Republic of Moldova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Netherlands/GE-RIVM-33529/2021	EPI_ISL_2302392		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Netherlands/ZH-EMC-2560/2021	EPI_ISL_2145664		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Belgium/UZA-UA-CV2056782441/2021	EPI_ISL_2272757		Platform BIS UZA/UAntwerpen	Labo Klinische Biologie, UZA	Marie Le Mercier et al
hCoV-19/Australia/QLD2026/2021	EPI_ISL_2956012		PHV-FSS	PHV-FSS	Son Nguyen et al
hCoV-19/Gambia/15248/2021	EPI_ISL_2941560		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Gambia/15249/2021	EPI_ISL_2941561		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Australia/SA0678/2021	EPI_ISL_1704806		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Greece/EKAR_96159/2021	EPI_ISL_2349454		National Reference Centre for Retroviruses	Central Public Health Laboratory	Gkikas Magiorkinis et al
hCoV-19/Kenya/SS550/2021	EPI_ISL_3049489		KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Pakistan/UHS-PAK-S99/2021	EPI_ISL_2100508	OU207428.1	University of Health Sciences	Quadram Institute Bioscience	Muhammad Bilal Sarwar et al
hCoV-19/Australia/QLD1844/2021	EPI_ISL_1633659		Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/Portugal/PT8283/2021	EPI_ISL_2445857			Instituto Nacional de Saude (INSA)	Borges et al
hCoV-19/France/PAC-IHU-10321-N1/2021	EPI_ISL_2597036		MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al
hCoV-19/Estonia/C142131/2021	EPI_ISL_2788773		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
hCoV-19/Ukraine/39-62235/2021	EPI_ISL_3262135		SI «Public Health Center of MHU»	The Institute of Molecular Biology and Genetics of NASU	M.Tukalo et al.
hCoV-19/Mexico/COA-InDRE_FB17411_S3519/2021	EPI_ISL_2779034		LESP Coahuila	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Luxembourg/LNS0297696/2021	EPI_ISL_2401525		BioneXt Lab	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al
hCoV-19/Sweden/01_SE100_21CS504361/2021	EPI_ISL_2899360		Unilabs	Karolinska University Hospital	Jan Albert et al
hCoV-19/Georgia/Tb-RNGS040/2021	EPI_ISL_3098702		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al
hCoV-19/Germany/RP-RKI-I-134481/2021	EPI_ISL_2116678		SYNLAB MVZ Trier	Robert Koch Institute	?
hCoV-19/Spain/CT-HUGTiPR017KX9A8/2021	EPI_ISL_2254179		Microbiology Department, Laboratori Clínic Metropolitana Nord. Hospital Universitari Germans Trias i Pujol.	Can Ruti SARS-CoV-2 Sequencing Hub (HUGTiP/IrsiCaixa/IGTP)	Marc Noguera-Julian et al
hCoV-19/Spain/CL-COV04339/2021	EPI_ISL_2957649		SARS-CoV-2 Sequencing Castilla y Leon-Spain Consortium	SARS-CoV-2 Sequencing Castilla y Leon-Spain Consortium	Antonio Orduña-Domingo et al
hCoV-19/Andorra/AND-234_2118213840_GC/2021	EPI_ISL_3384888		Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M et al
hCoV-19/Malta/MDxMDH486/2021	EPI_ISL_2718539		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Spain/CM-IBV-97030955/2021	EPI_ISL_2886045		Hospital Universitario de Guadalajara	SeqCOVID-SPAIN consortium/IBV(CSIC)	Alejandro González Praetorius y Mariela Martínez Ramírez et al
hCoV-19/Morocco/FMP-275/2021	EPI_ISL_1909241		Institut National d'Hygiène	Laboratoire de Biotechnologie	Mouna Ouadghiri et al
hCoV-19/Oman/5219252/2021	EPI_ISL_2921175		Oman-NIC	Oman-National Influenza Center	Laila Al Balushi et al
hCoV-19/Australia/NSW4670/2021	EPI_ISL_2404989		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al
hCoV-19/Kosovo/ChVir25780_30/2021	EPI_ISL_2833666		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Austria/CeMM12123/2021	EPI_ISL_2887498		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Australia/NT150/2021	EPI_ISL_2321158		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/Belgium/AZDelta-09071-2122R/2021	EPI_ISL_2499878		AZDelta	AZ Delta Medical Laboratories in Roeselare, Belgium	Geert Martens et al
hCoV-19/Ireland/LH-NVRL-M32IRL92625/2021	EPI_ISL_3154566		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al
hCoV-19/Latvia/2105048910/2021	EPI_ISL_2798683		Centrālā Laboratorija, SIA	Riga East University Hospital, National Microbiology Reference Laboratory; Eurofins Genomics Europe Sequencing GmbH	Stella Lapiņa et al
hCoV-19/CostaRica/INC-0654/2021	EPI_ISL_2502751		AREA DE SALUD PAQUERA	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
hCoV-19/Pakistan/NIH-B9-S7/2021	EPI_ISL_2894972		Department of Virology	Department of Virology	Massab Umair et al
hCoV-19/Pakistan/JRCGR_SCV-81/2021	EPI_ISL_2466716	MZ328029.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Irfan et al
